chapter_name,num_chars,line_start,line_end
NULL,14023,-1,709
CHAPTER II_1,19905,714,1148
CHAPTER III_1,11838,1153,1397
CHAPTER IV_1,18044,1402,1757
CHAPTER V_1,9850,1762,1934
CHAPTER V_2,8631,1939,2074
CHAPTER V_3,78218,2079,3387
CHAPTER VI_1,13753,3392,3633
CHAPTER VI_2,33885,3638,4221
CHAPTER VII_1,10230,4226,4398
CHAPTER VIII_1,29605,4403,4852
CHAPTER IX_1,9481,4857,5045
CHAPTER X_1,9715,5050,5264
CHAPTER XI_1,23350,5269,5620
CHAPTER XII_1,12978,5625,5843
CHAPTER XIII_1,11870,5848,6031
CHAPTER XIV_1,15848,6036,6274
CHAPTER XV_1,9831,6279,6429
CHAPTER XVI_1,9926,6434,6602
CHAPTER XVII_1,27738,6607,7023
CHAPTER XVIII_1,28674,7028,7479
CHAPTER XIX_1,4041,7484,7548
CHAPTER XX_1,3294,7553,7639
CHAPTER XXI_1,1929,7644,7684
CHAPTER XXII_1,19245,7689,8065
CHAPTER XXIII_1,8433,8070,8257
CHAPTER XXIII_2,22359,8262,8745
CHAPTER XXIII_3,50343,8750,9859
