function,elapsed,call_chain,run_id
task_01_convert_epub,1.960281849,_run_module_as_main -> _run_code -> pipeline_A -> task_01_convert_epub -> task_01_convert_epub,1
task_02_parse_chapters,0.031509638,_run_module_as_main -> _run_code -> pipeline_A -> task_02_parse_chapters -> task_02_parse_chapters,1
task_03_chunk_story,0.015891075,_run_module_as_main -> _run_code -> pipeline_A -> task_03_chunk_story -> task_03_chunk_story,1
pipeline_A,2.089421034,_run_module_as_main -> _run_code -> pipeline_A,1
task_11_send_chunk,0.031667233,_run_module_as_main -> _run_code -> pipeline_B -> task_11_send_chunk -> task_11_send_chunk,1
task_12_relation_extraction[openie],70.09192443,_run_module_as_main -> _run_code -> pipeline_B -> task_12_relation_extraction -> task_12_relation_extraction,1
task_14_validate_llm[langchain],129.8735235,_run_module_as_main -> _run_code -> pipeline_B -> task_14_validate_llm -> task_14_validate_llm,1
task_16_moderate_triples_llm[resolve],2.541458845,_run_module_as_main -> _run_code -> pipeline_B -> task_16_moderate_triples_llm -> task_16_moderate_triples_llm,1
pipeline_B,203.3344705,_run_module_as_main -> _run_code -> pipeline_B,1
task_20_send_triples,6.130073309,_run_module_as_main -> _run_code -> pipeline_C -> task_20_send_triples -> task_20_send_triples,1
task_22_fetch_subgraph[community],3.023542881,_run_module_as_main -> _run_code -> pipeline_C -> task_22_fetch_subgraph -> task_22_fetch_subgraph,1
task_23_verbalize_triples[context],0.019026995,_run_module_as_main -> _run_code -> pipeline_C -> task_23_verbalize_triples -> task_23_verbalize_triples,1
pipeline_C,9.262515306,_run_module_as_main -> _run_code -> pipeline_C,1
task_30_summarize_llm[triples],15.58768797,_run_module_as_main -> _run_code -> pipeline_D -> task_30_summarize_llm -> task_30_summarize_llm,1
task_31_send_summary,0.004039526,_run_module_as_main -> _run_code -> pipeline_D -> task_31_send_summary -> task_31_send_summary,1
pipeline_D,15.65733695,_run_module_as_main -> _run_code -> pipeline_D,1
worker_metric_bookscore,6.339087486,story-1_book-2_chapter-12_p.20963,1
worker_metric_questeval,178.0776045,story-1_book-2_chapter-12_p.20963,1
task_45_eval_coverage,0.598648787,_bootstrap -> _bootstrap_inner -> run -> process_request_thread -> finish_request -> __init__ -> handle -> handle -> handle_one_request -> run_wsgi -> execute -> __call__ -> wsgi_app -> full_dispatch_request -> dispatch_request -> callback -> pipeline_E -> task_45_eval_coverage -> task_45_eval_coverage,1
task_45_eval_rouge,4.571695566,_bootstrap -> _bootstrap_inner -> run -> process_request_thread -> finish_request -> __init__ -> handle -> handle -> handle_one_request -> run_wsgi -> execute -> __call__ -> wsgi_app -> full_dispatch_request -> dispatch_request -> callback -> pipeline_E -> task_45_eval_rouge -> task_45_eval_rouge,1
