function,elapsed,call_chain,run_id
task_01_convert_epub,2.350950718,_run_module_as_main -> _run_code -> pipeline_A -> task_01_convert_epub -> task_01_convert_epub,181
task_02_parse_chapters,0.031893492,_run_module_as_main -> _run_code -> pipeline_A -> task_02_parse_chapters -> task_02_parse_chapters,181
task_03_chunk_story,0.014784098,_run_module_as_main -> _run_code -> pipeline_A -> task_03_chunk_story -> task_03_chunk_story,181
pipeline_A,2.48426795,_run_module_as_main -> _run_code -> pipeline_A,181
task_11_send_chunk,0.027633667,_run_module_as_main -> _run_code -> pipeline_B -> task_11_send_chunk -> task_11_send_chunk,181
task_12_relation_extraction[textacy],1.9943223,_run_module_as_main -> _run_code -> pipeline_B -> task_12_relation_extraction -> task_12_relation_extraction,181
task_14_validate_llm[openai],6.756496191,_run_module_as_main -> _run_code -> pipeline_B -> task_14_validate_llm -> task_14_validate_llm,181
task_16_moderate_triples_llm[drop],2.278369904,_run_module_as_main -> _run_code -> pipeline_B -> task_16_moderate_triples_llm -> task_16_moderate_triples_llm,181
pipeline_B,11.25841284,_run_module_as_main -> _run_code -> pipeline_B,181
task_20_send_triples,4.735493898,_run_module_as_main -> _run_code -> pipeline_C -> task_20_send_triples -> task_20_send_triples,181
task_22_fetch_subgraph[popular],0.382788658,_run_module_as_main -> _run_code -> pipeline_C -> task_22_fetch_subgraph -> task_22_fetch_subgraph,181
task_23_verbalize_triples[raw],0.000736952,_run_module_as_main -> _run_code -> pipeline_C -> task_23_verbalize_triples -> task_23_verbalize_triples,181
pipeline_C,5.217855215,_run_module_as_main -> _run_code -> pipeline_C,181
task_30_summarize_llm[triples],2.289694786,_run_module_as_main -> _run_code -> pipeline_D -> task_30_summarize_llm -> task_30_summarize_llm,181
task_31_send_summary,0.001325607,_run_module_as_main -> _run_code -> pipeline_D -> task_31_send_summary -> task_31_send_summary,181
pipeline_D,2.34719348,_run_module_as_main -> _run_code -> pipeline_D,181
worker_metric_bookscore,11.12501597,story-1_book-2_chapter-14_p.15915,181
worker_metric_questeval,184.4545538,story-1_book-2_chapter-14_p.15915,181
task_45_eval_coverage,0.949316502,_bootstrap -> _bootstrap_inner -> run -> process_request_thread -> finish_request -> __init__ -> handle -> handle -> handle_one_request -> run_wsgi -> execute -> __call__ -> wsgi_app -> full_dispatch_request -> dispatch_request -> callback -> pipeline_E -> task_45_eval_coverage -> task_45_eval_coverage,181
